name,artists,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,popularity,speechiness,tempo,valence
I Just Wanna Shine,Fitz and The Tantrums,0.04,0.705,0.9179999999999999,9.300000000000001e-05,0.5454545454545454,0.0803,0.8978099899598394,0.64,0.0684,0.3799110497850165,0.546
Adderall,Max Frost,0.000672,0.6809999999999999,0.8909999999999999,1.07e-06,0.5454545454545454,0.0631,0.8741214859437751,0.59,0.0408,0.4106986657467753,0.556
Nothing's Gonna Stop Us Now,Starship,0.0298,0.643,0.8009999999999999,0.0,0.5454545454545454,0.0719,0.8640656375502008,0.75,0.0228,0.3941899000850078,0.534
G.U.Y.,Lady Gaga,0.0141,0.616,0.919,0.0,0.4545454545454546,0.11699999999999999,0.8868599397590362,0.64,0.0401,0.4517652469949529,0.5720000000000001
Lovers Rock,TV Girl,7.53e-06,0.5589999999999999,0.871,0.00524,0.4545454545454546,0.096,0.8575238453815262,0.7000000000000001,0.0392,0.4311005433108699,0.573
Click Click Boom,Saliva,0.0029,0.609,0.935,0.000359,0.5454545454545454,0.188,0.8951273845381527,0.7000000000000001,0.0479,0.3940625936831385,0.498
Adventure of a Lifetime,Coldplay,0.00205,0.638,0.924,0.000175,0.6363636363636364,0.149,0.8802867720883535,0.74,0.036000000000000004,0.4599251766889659,0.53
Mirala Miralo,Alejandra Guzman,0.0046,0.669,0.889,1.49e-05,0.4545454545454546,0.091,0.8554216867469879,0.64,0.0318,0.501431170356499,0.58
We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song] (feat. Jennifer Lopez & Claudia Leitte),"Pitbull, Jennifer Lopez, Claudia Leitte",0.008790000000000001,0.5920000000000001,0.935,0.0154,0.5454545454545454,0.132,0.8735410391566265,0.65,0.0581,0.5133856521578436,0.5670000000000001
Water Under the Bridge,Adele,0.0142,0.59,0.833,5.400000000000002e-06,0.4545454545454546,0.105,0.8392476154618475,0.64,0.0615,0.3899805755070696,0.5379999999999999
